id	long_id	borogh_id	tract_name	income
000100	14000US36061000100	61	Census Tract 1, New York, NY	0
000100	14000US36005000100	05	Census Tract 1, Bronx, NY	0
000100	14000US36047000100	47	Census Tract 1, Kings, NY	86210
000100	14000US36081000100	81	Census Tract 1, Queens, NY	123056
000200	14000US36005000200	05	Census Tract 2, Bronx, NY	69514
000200	14000US36047000200	47	Census Tract 2, Kings, NY	33906
000200	14000US36081000200	81	Census Tract 2, Queens, NY	56750
000201	14000US36061000201	61	Census Tract 2.01, New York, NY	19333
000202	14000US36061000202	61	Census Tract 2.02, New York, NY	26355
000300	14000US36085000300	85	Census Tract 3, Richmond, NY	55909
000301	14000US36047000301	47	Census Tract 3.01, Kings, NY	109375
000400	14000US36081000400	81	Census Tract 4, Queens, NY	60938
000400	14000US36005000400	05	Census Tract 4, Bronx, NY	73036
000500	14000US36061000500	61	Census Tract 5, New York, NY	0
000501	14000US36047000501	47	Census Tract 5.01, Kings, NY	98073
000502	14000US36047000502	47	Census Tract 5.02, Kings, NY	92219
000600	14000US36085000600	85	Census Tract 6, Richmond, NY	37781
000600	14000US36081000600	81	Census Tract 6, Queens, NY	59000
000600	14000US36061000600	61	Census Tract 6, New York, NY	19643
000700	14000US36081000700	81	Census Tract 7, Queens, NY	77475
000700	14000US36047000700	47	Census Tract 7, Kings, NY	136515
000700	14000US36085000700	85	Census Tract 7, Richmond, NY	40134
000700	14000US36061000700	61	Census Tract 7, New York, NY	122648
000800	14000US36081000800	81	Census Tract 8, Queens, NY	61159
000800	14000US36085000800	85	Census Tract 8, Richmond, NY	75545
000800	14000US36061000800	61	Census Tract 8, New York, NY	24965
000900	14000US36061000900	61	Census Tract 9, New York, NY	165313
000900	14000US36085000900	85	Census Tract 9, Richmond, NY	60817
000900	14000US36047000900	47	Census Tract 9, Kings, NY	115952
001000	14000US36081001000	81	Census Tract 10, Queens, NY	63102
001001	14000US36061001001	61	Census Tract 10.01, New York, NY	84130
001002	14000US36061001002	61	Census Tract 10.02, New York, NY	18270
001100	14000US36085001100	85	Census Tract 11, Richmond, NY	41149
001100	14000US36047001100	47	Census Tract 11, Kings, NY	120208
001200	14000US36081001200	81	Census Tract 12, Queens, NY	64808
001200	14000US36061001200	61	Census Tract 12, New York, NY	46750
001300	14000US36047001300	47	Census Tract 13, Kings, NY	108170
001300	14000US36061001300	61	Census Tract 13, New York, NY	120861
001400	14000US36081001400	81	Census Tract 14, Queens, NY	68571
001401	14000US36061001401	61	Census Tract 14.01, New York, NY	87426
001402	14000US36061001402	61	Census Tract 14.02, New York, NY	35455
001500	14000US36047001500	47	Census Tract 15, Kings, NY	80203
001501	14000US36061001501	61	Census Tract 15.01, New York, NY	64335
001502	14000US36061001502	61	Census Tract 15.02, New York, NY	113646
001600	14000US36081001600	81	Census Tract 16, Queens, NY	49510
001600	14000US36005001600	05	Census Tract 16, Bronx, NY	30817
001600	14000US36061001600	61	Census Tract 16, New York, NY	35021
001700	14000US36085001700	85	Census Tract 17, Richmond, NY	64107
001800	14000US36047001800	47	Census Tract 18, Kings, NY	0
001800	14000US36061001800	61	Census Tract 18, New York, NY	45500
001800	14000US36081001800	81	Census Tract 18, Queens, NY	58000
001800	14000US36085001800	85	Census Tract 18, Richmond, NY	57069
001900	14000US36081001900	81	Census Tract 19, Queens, NY	83235
001900	14000US36005001900	05	Census Tract 19, Bronx, NY	33862
002000	14000US36061002000	61	Census Tract 20, New York, NY	17506
002000	14000US36047002000	47	Census Tract 20, Kings, NY	72500
002000	14000US36005002000	05	Census Tract 20, Bronx, NY	19150
002000	14000US36081002000	81	Census Tract 20, Queens, NY	74432
002001	14000US36085002001	85	Census Tract 20.01, Richmond, NY	75050
002002	14000US36085002002	85	Census Tract 20.02, Richmond, NY	86125
002100	14000US36085002100	85	Census Tract 21, Richmond, NY	51268
002100	14000US36047002100	47	Census Tract 21, Kings, NY	193942
002100	14000US36061002100	61	Census Tract 21, New York, NY	215745
002200	14000US36081002200	81	Census Tract 22, Queens, NY	56161
002200	14000US36047002200	47	Census Tract 22, Kings, NY	38325
002201	14000US36061002201	61	Census Tract 22.01, New York, NY	38981
002202	14000US36061002202	61	Census Tract 22.02, New York, NY	83309
002300	14000US36005002300	05	Census Tract 23, Bronx, NY	13902
002300	14000US36047002300	47	Census Tract 23, Kings, NY	16795
002400	14000US36081002400	81	Census Tract 24, Queens, NY	81071
002400	14000US36061002400	61	Census Tract 24, New York, NY	25833
002400	14000US36005002400	05	Census Tract 24, Bronx, NY	0
002500	14000US36005002500	05	Census Tract 25, Bronx, NY	14628
002500	14000US36061002500	61	Census Tract 25, New York, NY	15652
002500	14000US36081002500	81	Census Tract 25, Queens, NY	20830
002600	14000US36081002600	81	Census Tract 26, Queens, NY	92946
002601	14000US36061002601	61	Census Tract 26.01, New York, NY	52773
002602	14000US36061002602	61	Census Tract 26.02, New York, NY	54938
002700	14000US36085002700	85	Census Tract 27, Richmond, NY	27396
002700	14000US36061002700	61	Census Tract 27, New York, NY	50893
002701	14000US36005002701	05	Census Tract 27.01, Bronx, NY	26094
002702	14000US36005002702	05	Census Tract 27.02, Bronx, NY	19237
002800	14000US36081002800	81	Census Tract 28, Queens, NY	66045
002800	14000US36005002800	05	Census Tract 28, Bronx, NY	48717
002800	14000US36061002800	61	Census Tract 28, New York, NY	32129
002900	14000US36061002900	61	Census Tract 29, New York, NY	35774
002900	14000US36085002900	85	Census Tract 29, Richmond, NY	34510
002901	14000US36047002901	47	Census Tract 29.01, Kings, NY	12645
003000	14000US36047003000	47	Census Tract 30, Kings, NY	56942
003000	14000US36081003000	81	Census Tract 30, Queens, NY	48917
003001	14000US36061003001	61	Census Tract 30.01, New York, NY	67700
003002	14000US36061003002	61	Census Tract 30.02, New York, NY	53047
003100	14000US36047003100	47	Census Tract 31, Kings, NY	64668
003100	14000US36081003100	81	Census Tract 31, Queens, NY	50000
003100	14000US36005003100	05	Census Tract 31, Bronx, NY	28047
003100	14000US36061003100	61	Census Tract 31, New York, NY	160811
003200	14000US36081003200	81	Census Tract 32, Queens, NY	75509
003200	14000US36061003200	61	Census Tract 32, New York, NY	64789
003300	14000US36085003300	85	Census Tract 33, Richmond, NY	68672
003300	14000US36005003300	05	Census Tract 33, Bronx, NY	20852
003300	14000US36047003300	47	Census Tract 33, Kings, NY	82381
003300	14000US36061003300	61	Census Tract 33, New York, NY	202153
003300	14000US36081003300	81	Census Tract 33, Queens, NY	47500
003400	14000US36047003400	47	Census Tract 34, Kings, NY	88409
003400	14000US36081003400	81	Census Tract 34, Queens, NY	75962
003400	14000US36061003400	61	Census Tract 34, New York, NY	66623
003500	14000US36047003500	47	Census Tract 35, Kings, NY	50244
003500	14000US36005003500	05	Census Tract 35, Bronx, NY	24321
003600	14000US36047003600	47	Census Tract 36, Kings, NY	57656
003600	14000US36081003600	81	Census Tract 36, Queens, NY	66274
003600	14000US36085003600	85	Census Tract 36, Richmond, NY	82574
003601	14000US36061003601	61	Census Tract 36.01, New York, NY	40433
003602	14000US36061003602	61	Census Tract 36.02, New York, NY	62667
003700	14000US36005003700	05	Census Tract 37, Bronx, NY	34000
003700	14000US36061003700	61	Census Tract 37, New York, NY	89762
003700	14000US36047003700	47	Census Tract 37, Kings, NY	88864
003700	14000US36081003700	81	Census Tract 37, Queens, NY	0
003800	14000US36005003800	05	Census Tract 38, Bronx, NY	36250
003800	14000US36081003800	81	Census Tract 38, Queens, NY	49010
003800	14000US36061003800	61	Census Tract 38, New York, NY	61404
003800	14000US36047003800	47	Census Tract 38, Kings, NY	96982
003900	14000US36061003900	61	Census Tract 39, New York, NY	102115
003900	14000US36081003900	81	Census Tract 39, Queens, NY	41553
003900	14000US36047003900	47	Census Tract 39, Kings, NY	95625
003900	14000US36005003900	05	Census Tract 39, Bronx, NY	25513
003900	14000US36085003900	85	Census Tract 39, Richmond, NY	70208
004000	14000US36061004000	61	Census Tract 40, New York, NY	84713
004000	14000US36085004000	85	Census Tract 40, Richmond, NY	42729
004001	14000US36005004001	05	Census Tract 40.01, Bronx, NY	46809
004001	14000US36081004001	81	Census Tract 40.01, Queens, NY	60385
004002	14000US36081004002	81	Census Tract 40.02, Queens, NY	52721
004100	14000US36005004100	05	Census Tract 41, Bronx, NY	18021
004100	14000US36047004100	47	Census Tract 41, Kings, NY	108510
004100	14000US36061004100	61	Census Tract 41, New York, NY	41458
004200	14000US36005004200	05	Census Tract 42, Bronx, NY	27868
004200	14000US36081004200	81	Census Tract 42, Queens, NY	57835
004200	14000US36061004200	61	Census Tract 42, New York, NY	139000
004300	14000US36061004300	61	Census Tract 43, New York, NY	68483
004300	14000US36081004300	81	Census Tract 43, Queens, NY	16154
004300	14000US36047004300	47	Census Tract 43, Kings, NY	102875
004300	14000US36005004300	05	Census Tract 43, Bronx, NY	22359
004400	14000US36061004400	61	Census Tract 44, New York, NY	92173
004400	14000US36005004400	05	Census Tract 44, Bronx, NY	21033
004400	14000US36047004400	47	Census Tract 44, Kings, NY	82232
004401	14000US36081004401	81	Census Tract 44.01, Queens, NY	48689
004500	14000US36081004500	81	Census Tract 45, Queens, NY	63261
004500	14000US36061004500	61	Census Tract 45, New York, NY	134750
004500	14000US36047004500	47	Census Tract 45, Kings, NY	103226
004600	14000US36005004600	05	Census Tract 46, Bronx, NY	31250
004600	14000US36047004600	47	Census Tract 46, Kings, NY	86250
004700	14000US36047004700	47	Census Tract 47, Kings, NY	101875
004700	14000US36081004700	81	Census Tract 47, Queens, NY	26023
004700	14000US36061004700	61	Census Tract 47, New York, NY	77205
004700	14000US36085004700	85	Census Tract 47, Richmond, NY	71574
004800	14000US36005004800	05	Census Tract 48, Bronx, NY	24683
004800	14000US36061004800	61	Census Tract 48, New York, NY	104549
004900	14000US36047004900	47	Census Tract 49, Kings, NY	100200
004900	14000US36061004900	61	Census Tract 49, New York, NY	98047
005000	14000US36085005000	85	Census Tract 50, Richmond, NY	60563
005000	14000US36061005000	61	Census Tract 50, New York, NY	92760
005000	14000US36047005000	47	Census Tract 50, Kings, NY	82644
005000	14000US36081005000	81	Census Tract 50, Queens, NY	0
005001	14000US36005005001	05	Census Tract 50.01, Bronx, NY	30106
005002	14000US36005005002	05	Census Tract 50.02, Bronx, NY	32788
005100	14000US36005005100	05	Census Tract 51, Bronx, NY	21423
005100	14000US36081005100	81	Census Tract 51, Queens, NY	44464
005100	14000US36047005100	47	Census Tract 51, Kings, NY	100645
005200	14000US36005005200	05	Census Tract 52, Bronx, NY	17106
005200	14000US36081005200	81	Census Tract 52, Queens, NY	57656
005200	14000US36061005200	61	Census Tract 52, New York, NY	174286
005201	14000US36047005201	47	Census Tract 52.01, Kings, NY	17292
005202	14000US36047005202	47	Census Tract 52.02, Kings, NY	72854
005300	14000US36005005300	05	Census Tract 53, Bronx, NY	15087
005300	14000US36047005300	47	Census Tract 53, Kings, NY	67054
005300	14000US36081005300	81	Census Tract 53, Queens, NY	50881
005400	14000US36005005400	05	Census Tract 54, Bronx, NY	29583
005400	14000US36047005400	47	Census Tract 54, Kings, NY	62778
005400	14000US36061005400	61	Census Tract 54, New York, NY	122798
005400	14000US36081005400	81	Census Tract 54, Queens, NY	59208
005500	14000US36081005500	81	Census Tract 55, Queens, NY	57981
005501	14000US36061005501	61	Census Tract 55.01, New York, NY	119853
005502	14000US36061005502	61	Census Tract 55.02, New York, NY	114643
005600	14000US36005005600	05	Census Tract 56, Bronx, NY	26000
005600	14000US36061005600	61	Census Tract 56, New York, NY	120547
005601	14000US36047005601	47	Census Tract 56.01, Kings, NY	51339
005602	14000US36047005602	47	Census Tract 56.02, Kings, NY	51989
005700	14000US36081005700	81	Census Tract 57, Queens, NY	52346
005700	14000US36061005700	61	Census Tract 57, New York, NY	156500
005800	14000US36047005800	47	Census Tract 58, Kings, NY	50747
005800	14000US36061005800	61	Census Tract 58, New York, NY	122661
005800	14000US36081005800	81	Census Tract 58, Queens, NY	66414
005900	14000US36047005900	47	Census Tract 59, Kings, NY	61106
005900	14000US36061005900	61	Census Tract 59, New York, NY	111058
005900	14000US36081005900	81	Census Tract 59, Queens, NY	62008
005900	14000US36085005900	85	Census Tract 59, Richmond, NY	81275
005902	14000US36005005902	05	Census Tract 59.02, Bronx, NY	35488
006000	14000US36005006000	05	Census Tract 60, Bronx, NY	40586
006000	14000US36047006000	47	Census Tract 60, Kings, NY	62578
006000	14000US36061006000	61	Census Tract 60, New York, NY	103824
006100	14000US36081006100	81	Census Tract 61, Queens, NY	59401
006100	14000US36005006100	05	Census Tract 61, Bronx, NY	43950
006100	14000US36061006100	61	Census Tract 61, New York, NY	101685
006200	14000US36005006200	05	Census Tract 62, Bronx, NY	25500
006200	14000US36047006200	47	Census Tract 62, Kings, NY	43279
006200	14000US36061006200	61	Census Tract 62, New York, NY	93750
006201	14000US36081006201	81	Census Tract 62.01, Queens, NY	54022
006202	14000US36081006202	81	Census Tract 62.02, Queens, NY	56046
006300	14000US36005006300	05	Census Tract 63, Bronx, NY	31830
006300	14000US36081006300	81	Census Tract 63, Queens, NY	53610
006300	14000US36047006300	47	Census Tract 63, Kings, NY	92188
006300	14000US36061006300	61	Census Tract 63, New York, NY	104857
006400	14000US36085006400	85	Census Tract 64, Richmond, NY	51961
006400	14000US36005006400	05	Census Tract 64, Bronx, NY	36446
006400	14000US36061006400	61	Census Tract 64, New York, NY	90798
006400	14000US36047006400	47	Census Tract 64, Kings, NY	49191
006500	14000US36047006500	47	Census Tract 65, Kings, NY	100850
